在,乐创汇智慧园,三栋镇,普通住宅 写字楼 商铺 城市综合体,14000元/㎡,2023-05-21,65000㎡,599(住宅)户,信利康物业,,带装修,4,2040（住宅778）个,,,日立,信利康集团,深圳中咨建筑设计有限公司,金山新城,塔楼 高层 独栋别墅,建面104/121/130㎡,2024-12,350000㎡,14栋,2.8（商业、产业6）元/㎡·月,,住宅截至2090年9月21日,20.33%,1:1.4,,真实漆涂料,两梯三户、两梯四户,,雅克筑景设计（深圳）有限公司,现代,已封顶,改善产品 投资产品 教育社区 湖滨大宅 品质居所 绿色建筑,惠城区四环南路信利康乐创汇营销中心,信利康·乐创汇智慧园是中国500强公司信利康集团以国际前瞻的产城融合开发理念倾力打造的集企业办公、产业研发、高端住宅、精品美寓、繁华商业于一体的智慧商务综合体。,http://newhouse.fz0752.com/project/detail.shtml?num=20230007,46
在,方直星图园,惠城区,普通住宅 别墅 公寓 商铺,13354元/㎡,2023-06-17,18026㎡,756户,方直心生活,,带装修,3.5,631个,,,,,,大江北,高层 联排别墅,建面约82/89/95/106㎡,暂无数据,63091㎡,5栋,商铺6元/㎡·月，洋房2.85元/㎡·月,,,30%,暂无数据,,,,,,,暂无数据,品牌房企 公园地产 湖滨大宅 景观居所 品质居所,惠州市惠城区江北金石三路1号,方直星图园占地18026㎡，总建面63091㎡，由5栋高层住宅组成，共计756户，主力户型为82/89/95/106㎡，带装修交付。,http://newhouse.fz0752.com/project/detail.shtml?num=20210048,46
在,逸江澜庭,小金口街道,普通住宅,12573元/㎡,2023-03,29842.5㎡,804户,鑫弘物业,,毛坯,3.299,985个,,,,惠州市弘泽置业有限公司,,大江北,高层,建面约95-197㎡,2024-12-18,131464.04㎡,7栋,2.76元/㎡·月,,,30%,暂无数据,,,,,,,暂无数据,教育社区 品质居所,惠州市惠城区金石二路138号,逸江澜庭位于惠城区金石二路138号，总占地3.0万㎡，总建面约13.15万㎡，由7栋高层住宅组成，共计804户，主力户型为建面约95-197㎡。,http://newhouse.fz0752.com/project/detail.shtml?num=20220026,46
在,深业西湖三里,龙丰街道,普通住宅,10200元/㎡,2023-05,二期10.6万㎡,二期2305户,深圳市鹏基物业管理有限公司,,毛坯,2.53,2687个,二期2018年4月8日,中原地产、百川利地产,,惠州深业南方地产有限公司,深圳市博万建筑设计事务所,红花湖片区,高层,建面88-159㎡,2022-12-26,二期35.3万㎡,二期18栋,1.8元/㎡·月,,70年,30%,1:1.17,,,2梯4户/2梯5户/3梯6户,,深圳市博万建筑设计事务所,,1/2栋26层；6/17栋28层；3/7/13/14/15/16/19栋32层；5/8/9/10/11/12/18栋33层,教育社区 宜居生态,惠州市惠城区共联路15号（高榜山旁）,深业西湖三里是深业高榜山1号花园的二期升级力作，位于高榜山北麓，占地面积约10.6万㎡，建面约35.3万㎡，总户数2305户，产品以88-159㎡的三至五房为主。而深业高榜山1号花园总占地面积14.8万㎡，总建筑面积约47万㎡。其中一期建面约13.6万㎡，由5栋高层组成，共982户，产品以72～126㎡的高层二至四房为主。,http://newhouse.fz0752.com/project/detail.shtml?num=20170164,46
新,天傲花园,惠城区,普通住宅 商铺,待定元/㎡,2023-10,35260㎡,627户,惠州市景生物业管理有限公司,,带装修,3.5,1234个,,,三菱,惠州市俊发置业投资有限公司,深圳市清华苑建筑与规划设计研究有限公司,金山新城,塔楼 板楼 高层 超高层,,暂无数据,170540.39㎡,9栋,2.8元/㎡·月,,住宅截至2090年4月15日,32.5%,1：2,,玻璃幕墙,3梯2户、2梯2户、2梯3户,,风艺景观设计（广东）有限公司,新加坡微度假园林,暂无数据,改善产品 公园地产 湖滨大宅 豪华社区 品质居所,惠州·金山湖岛心瞰湖三路1号,,http://newhouse.fz0752.com/project/detail.shtml?num=20230004,46
在,锦荟年华花园,三栋镇,普通住宅,13006元/㎡,,21000㎡,732户,惠州市惠阳区花佳好家园物业服务有限公司,,毛坯,3.5,738个,,世联行,永大电梯,惠州市好年华房地产开发有限公司,,金山新城,高层,建面78/81/89/116㎡,2025-03,101000㎡,5栋,2.6（住宅；商铺5）元/㎡·月,,住宅截至2089年 12 月 12 日,30%,1:1,,铝膜工艺,2梯5户、2梯4户,,,现代风格,31-32层,刚需产品 中小户型 轨道物业 景观居所 品质居所,惠城区金山湖演达大道(卫职学院对面),,http://newhouse.fz0752.com/project/detail.shtml?num=20230006,46
在,恒和金谷3期群贤府,河南岸街道,普通住宅,18414元/㎡,2023-01,14000㎡,246户,御众物业,惠州市第二十七小学,带装修,2.4,339（地下324个、地上15个）个,2022.1.11,中原,上海三菱,惠州市恒和房地产开发有限公司、惠州市南山家福实业有限公司,广东呈斯意特建筑设计有限公司,河麦片区,塔楼 小高层 高层,建面约109-146㎡,2024-06-30,49000㎡,4栋,暂无数据,惠州一中(惠港校区）,70年,35%,1.19,2024.4.10,,2梯2户、2梯3户,,,,暂无数据,品牌房企 刚需产品 改善产品 教育社区 品质居所,惠州市惠城区河南岸街道演达大道30-2号,,http://newhouse.fz0752.com/project/detail.shtml?num=20220052,46
在,康桥知园,惠城区,普通住宅 公寓 写字楼 商铺,14901元/㎡,2022-04,29051㎡,住宅662户,康桥悦生活服务集团有限公司,惠南学校,毛坯 公共部分精装修,3.5,993个,,,,惠州市骏宏企业发展有限公司,,金山新城,高层,建面约95/110/125㎡,暂无数据,132590㎡,6栋,暂无数据,惠南学校,住宅截至2090年10月13日,35%,暂无数据,,,,,捷奥国际,现代,暂无数据,品牌房企 教育社区 品质居所,金山湖·演达大道·惠州一中（高中部）旁,,http://newhouse.fz0752.com/project/detail.shtml?num=20210050,46
在,佳兆业时光道花园,马安镇,普通住宅 商铺,13020元/㎡,2022-09,110871㎡,3259户,佳兆业美好物业管理有限公司,,毛坯 公共部分精装修,3.1,3446（地上326、地下3120）个,,中原,,佳兆业集团,,金山新城,板楼 高层,建面约78-116㎡2-4房,2022-11,465888㎡,25栋,2.7元/㎡·月,,住宅截至2090年6月16日,35%,1:1.08,,,,,,,27层,品牌房企 刚需产品 教育社区 公园地产 品质居所,惠州·金山湖东·马安河公园旁,,http://newhouse.fz0752.com/project/detail.shtml?num=20200273,46
在,领地蘭台府,小金口街道,普通住宅 别墅 商铺,12221元/㎡,2023-06,99165.00㎡,1493户,四川省汇丰物业,,毛坯 公共部分精装修,2,1986（地上198，地下1788）个,,世联行,,惠州领地房地产开发有限公司,,大江北,塔楼 高层 联排别墅,建面110-126㎡高层,暂无数据,266415.64㎡,39栋,暂无数据,,70年,30%,暂无数据,,,两梯四户,,,,高层30-33层；别墅三层,品牌房企 刚需产品 改善产品 轨道物业,惠城区北站新城金泉路西,,http://newhouse.fz0752.com/project/detail.shtml?num=20180065,46
