21,163,60,M
22,164,56,M
21,170,50,M
23,168,56,M
21,169,60,M
24,158,55,M
25,156,51,M
20,155,53,M
23,172,60,M
25,166,53,M
21,168,60,M
22,160,50,M
26,175,60,M
23,159,49,M
21,157,53,M
24,154,45,M
25,150,40,M
20,152,42,M
23,174,50,M
25,166,48,M
21,163,55,M
22,164,58,M
21,165,51,M
23,166,55,M
21,167,62,M
24,168,63,M
25,169,63,M
20,170,65,M
23,172,66,M
25,166,56,M
21,163,62,M
22,154,56,M
21,155,60,M
23,156,61,M
21,157,62,M
24,158,63,M
25,150,42,M
20,155,59,M
23,172,56,M
25,166,58,M
21,164,55,M
22,160,56,M
21,155,50,M
23,149,39,M
21,145,39,M
24,155,55,M
25,178,62,M
20,167,57,M
23,172,65,M
25,173,64,M
21,169,70,F
22,160,60,F
21,168,55,F
23,167,65,F
21,180,71,F
24,182,65,F
25,178,66,F
20,167,60,F
23,172,67,F
25,173,68,F
21,172,70,F
22,173,71,F
21,174,72,F
23,175,72,F
21,176,71,F
24,177,75,F
25,178,76,F
20,179,73,F
23,180,77,F
25,171,76,F
21,170,71,F
22,169,69,F
21,168,67,F
23,167,66,F
21,180,68,F
24,182,69,F
25,162,50,F
20,155,52,F
23,159,53,F
25,164,66,F
21,171,80,F
22,175,70,F
21,173,52,F
23,158,59,F
21,167,71,F
24,175,65,F
25,176,78,F
20,156,78,F
23,158,60,F
25,157,66,F
21,182,70,F
22,183,70,F
21,168,57,F
23,148,50,F
21,157,56,F
24,192,73,F
25,187,74,F
20,178,65,F
23,172,76,F
25,173,78,F
